observation_date,AZSTHPI_20181127,CASTHPI_20181127,COSTHPI_20181127,DCSTHPI_20181127,FLSTHPI_20181127,GASTHPI_20181127,ILSTHPI_20181127,MASTHPI_20181127,MISTHPI_20181127,MNSTHPI_20181127,NCSTHPI_20181127,NVSTHPI_20181127,NYSTHPI_20181127,OHSTHPI_20181127,ORSTHPI_20181127,TXSTHPI_20181127,WASTHPI_20181127
1996-01-01,165.94,203.63,195.79,194.06,174.15,187.11,209.27,298.43,191.12,174.15,197.55,175.56,287.66,184.43,207.84,136.35,221.58
1996-04-01,166.18,201.02,198.52,190.14,173.22,188.03,209.93,298.82,196.42,175.40,199.36,174.98,285.83,186.15,210.78,136.11,221.76
1996-07-01,167.75,200.65,200.76,187.81,173.61,189.82,210.95,300.16,200.95,177.10,201.72,174.85,283.87,187.47,214.21,136.47,223.03
1996-10-01,169.43,201.69,203.45,188.66,174.47,191.28,212.96,303.98,203.60,179.03,203.36,176.68,283.78,189.34,217.86,136.92,224.92
1997-01-01,170.96,202.72,205.73,189.21,176.70,193.47,214.42,306.69,207.10,181.16,205.91,177.76,283.62,191.82,221.30,137.60,226.49
1997-04-01,172.09,204.74,208.53,190.54,176.55,195.76,215.93,311.27,211.57,183.12,208.42,177.80,287.15,193.35,223.87,138.68,229.36
1997-07-01,175.17,208.83,211.77,189.34,178.97,199.10,218.15,315.78,215.28,186.52,211.49,180.73,289.59,196.04,228.55,140.01,234.19
1997-10-01,177.74,212.48,215.07,189.40,182.02,201.87,220.17,320.67,218.29,189.26,214.60,181.59,292.49,198.45,231.04,141.65,237.17
1998-01-01,180.08,217.05,218.12,196.81,185.66,205.46,222.05,324.94,220.79,192.40,217.23,183.66,299.10,200.82,234.48,143.87,241.72
1998-04-01,181.82,221.73,220.72,198.22,185.50,207.34,222.95,331.78,224.98,193.77,218.84,184.29,301.45,202.68,236.18,144.85,245.35
1998-07-01,184.25,227.53,224.85,199.92,187.82,211.14,225.09,340.03,228.68,197.76,222.02,185.19,303.73,205.19,238.61,147.21,249.87
1998-10-01,186.56,231.89,227.57,205.56,190.67,214.31,226.78,345.03,230.81,200.11,224.27,186.35,307.72,207.40,240.85,148.79,252.80
1999-01-01,188.59,235.48,231.83,207.58,191.87,217.23,228.83,352.00,234.48,203.38,226.17,186.78,310.10,209.56,241.95,150.17,255.22
1999-04-01,191.01,239.54,238.95,212.00,193.36,220.57,231.56,363.56,239.60,209.49,228.58,186.36,316.04,211.37,243.44,153.08,259.70
1999-07-01,193.80,245.01,246.81,218.11,195.71,224.49,234.90,378.60,244.43,216.00,229.99,187.57,324.79,212.03,244.14,155.57,262.66
1999-10-01,195.65,250.22,251.13,224.46,198.07,227.16,237.27,387.39,247.45,218.89,231.03,187.73,330.73,213.36,245.00,157.54,264.77
